# amplitude duration logL logPrior
1.495035621524324299e+01 1.388597532027092996e+01 -4.962540476355149622e+03 -5.228481599920394629e+00
1.494960162236123757e+01 1.380349488327157204e+01 -4.962497122956111525e+03 -5.228481599920394629e+00
1.480965337000012028e+01 1.405260016905836018e+01 -4.962198834887917656e+03 -5.228481599920394629e+00
1.494197236044457355e+01 1.380792147147339577e+01 -4.961863284535425009e+03 -5.228481599920394629e+00
1.480640576783283713e+01 1.387549253958793827e+01 -4.961744169800551390e+03 -5.228481599920394629e+00
1.495013472073472549e+01 1.383840317070166392e+01 -4.961562059636928097e+03 -5.228481599920394629e+00
1.476577191955392543e+01 1.404841785567394474e+01 -4.961558607465747627e+03 -5.228481599920394629e+00
1.494930616002266710e+01 1.383723418045084053e+01 -4.961496469709042685e+03 -5.228481599920394629e+00
1.489628140712800963e+01 1.397003636679996674e+01 -4.961415935256785815e+03 -5.228481599920394629e+00
1.481829764260585236e+01 1.404066879831771786e+01 -4.961413163662726220e+03 -5.228481599920394629e+00
1.482783240517477630e+01 1.403509375925498404e+01 -4.961399403954293120e+03 -5.228481599920394629e+00
1.486190440430904403e+01 1.382581710166375366e+01 -4.961369643750021169e+03 -5.228481599920394629e+00
1.492549169059135927e+01 1.392337664794107610e+01 -4.961364293771144730e+03 -5.228481599920394629e+00
1.494753241270475108e+01 1.385426744118634090e+01 -4.961314799897018020e+03 -5.228481599920394629e+00
1.492566652426909890e+01 1.392220496936709040e+01 -4.961309042080943073e+03 -5.228481599920394629e+00
1.482005749486900292e+01 1.403723530391078356e+01 -4.961167341835612206e+03 -5.228481599920394629e+00
1.481025940794943807e+01 1.387675258282507684e+01 -4.961165742531367869e+03 -5.228481599920394629e+00
1.475676382873480996e+01 1.397859483205866660e+01 -4.961137845956312049e+03 -5.228481599920394629e+00
1.493160959760391648e+01 1.390638596895752777e+01 -4.961117478234948067e+03 -5.228481599920394629e+00
1.475853948932834747e+01 1.397439642472589583e+01 -4.961056871447003687e+03 -5.228481599920394629e+00
1.475522148729665339e+01 1.401466906026103665e+01 -4.960996008632802841e+03 -5.228481599920394629e+00
1.488975336641109415e+01 1.397370258376950503e+01 -4.960980608671496157e+03 -5.228481599920394629e+00
1.493294210475628603e+01 1.390044347486477605e+01 -4.960980342183106586e+03 -5.228481599920394629e+00
1.489781844901708752e+01 1.396263603023186839e+01 -4.960940656629865771e+03 -5.228481599920394629e+00
1.475795960603966250e+01 1.402242621012557500e+01 -4.960914598933227353e+03 -5.228481599920394629e+00
1.492678834328874160e+01 1.381457830987900515e+01 -4.960901349003120231e+03 -5.228481599920394629e+00
1.485451662738963918e+01 1.383587990626545583e+01 -4.960892012210735629e+03 -5.228481599920394629e+00
1.476220229374954940e+01 1.396691598694355640e+01 -4.960883372063173738e+03 -5.228481599920394629e+00
1.479407722965216898e+01 1.390235149386353264e+01 -4.960849795054900824e+03 -5.228481599920394629e+00
1.489368981872652853e+01 1.396706604399012441e+01 -4.960842384467301599e+03 -5.228481599920394629e+00
1.476398283635922226e+01 1.403209738992160283e+01 -4.960838899604278595e+03 -5.228481599920394629e+00
1.480855311892423565e+01 1.403887631886101950e+01 -4.960835708413908833e+03 -5.228481599920394629e+00
1.491541241079276858e+01 1.393411441664083128e+01 -4.960832552887701240e+03 -5.228481599920394629e+00
1.480075650568667633e+01 1.404106347928028953e+01 -4.960813695600368192e+03 -5.228481599920394629e+00
1.487491229181977026e+01 1.382341532287982133e+01 -4.960802093545447860e+03 -5.228481599920394629e+00
1.491379897983889968e+01 1.381290138788093280e+01 -4.960777532246308510e+03 -5.228481599920394629e+00
1.482848455138377730e+01 1.386062949475259387e+01 -4.960746428806911354e+03 -5.228481599920394629e+00
1.478332268400674288e+01 1.392179120845974793e+01 -4.960714939527123533e+03 -5.228481599920394629e+00
1.479505250021935048e+01 1.404086069171163409e+01 -4.960706936702713392e+03 -5.228481599920394629e+00
1.475829089620846624e+01 1.399482308046414225e+01 -4.960687153079881682e+03 -5.228481599920394629e+00
1.476017806241220676e+01 1.398224539100186448e+01 -4.960676031975495789e+03 -5.228481599920394629e+00
1.480137017335891692e+01 1.403696902892672504e+01 -4.960493667546674260e+03 -5.228481599920394629e+00
1.483497480832812521e+01 1.385706925453739125e+01 -4.960471366440650854e+03 -5.228481599920394629e+00
1.489250679743706307e+01 1.381962413212552221e+01 -4.960464151482804482e+03 -5.228481599920394629e+00
1.476818309522938577e+01 1.402778802429700278e+01 -4.960461775711416522e+03 -5.228481599920394629e+00
1.478967331624056136e+01 1.403776724809333842e+01 -4.960455527932324003e+03 -5.228481599920394629e+00
1.486975546091891687e+01 1.383015837275192972e+01 -4.960447019970945803e+03 -5.228481599920394629e+00
