# amplitude duration logL logPrior
2.954268587921081846e+01 2.870291874538862587e+01 -1.727820085172078339e+06 -5.228481599920394629e+00
2.920001679291634389e+01 2.938124526800762482e+01 -1.722454317990206415e+06 -5.228481599920394629e+00
2.970348748719150578e+01 2.789037539707777213e+01 -1.702258070633031661e+06 -5.228481599920394629e+00
2.989617177023012218e+01 2.702057995303928450e+01 -1.675650864009184530e+06 -5.228481599920394629e+00
2.922558995857209041e+01 2.823409461138071208e+01 -1.664452178666667780e+06 -5.228481599920394629e+00
2.853633673446410413e+01 2.949530904015574961e+01 -1.647969499339123955e+06 -5.228481599920394629e+00
2.899413544227780903e+01 2.820194146471349583e+01 -1.635505162790080067e+06 -5.228481599920394629e+00
2.971957666488733807e+01 2.666873166439951959e+01 -1.635155988663578872e+06 -5.228481599920394629e+00
2.814577057119000969e+01 2.998581039964503958e+01 -1.625347412898822455e+06 -5.228481599920394629e+00
2.936728078192671987e+01 2.720120358996411625e+01 -1.624667381299593020e+06 -5.228481599920394629e+00
2.854605342986981498e+01 2.890837042973098647e+01 -1.619502685240010731e+06 -5.228481599920394629e+00
2.859813850434756688e+01 2.875060276834493322e+01 -1.617598699471418047e+06 -5.228481599920394629e+00
2.891527461612865579e+01 2.789384612611554815e+01 -1.610014051071056165e+06 -5.228481599920394629e+00
2.958959299723167646e+01 2.607642886393088588e+01 -1.586708695882759057e+06 -5.228481599920394629e+00
2.789690097661501511e+01 2.903469825495658441e+01 -1.550062232958721463e+06 -5.228481599920394629e+00
2.856767710089133416e+01 2.706372044150875311e+01 -1.526905373016373022e+06 -5.228481599920394629e+00
2.755132573597401446e+01 2.822232984816332291e+01 -1.471883867590809939e+06 -5.228481599920394629e+00
2.964920213173068930e+01 2.392542086503241094e+01 -1.468327991886203643e+06 -5.228481599920394629e+00
2.997684923852239791e+01 2.329184296744024607e+01 -1.463966967858541757e+06 -5.228481599920394629e+00
2.741355203949035513e+01 2.823134067739203346e+01 -1.457039535018583061e+06 -5.228481599920394629e+00
2.766711321646971911e+01 2.710717073730083726e+01 -1.430587256465963554e+06 -5.228481599920394629e+00
2.878902447549207366e+01 2.471450265371468902e+01 -1.424546157311071176e+06 -5.228481599920394629e+00
2.886186465014070279e+01 2.449796325232115990e+01 -1.420081528080601478e+06 -5.228481599920394629e+00
2.886832905421038120e+01 2.419405868853093011e+01 -1.403857793604470789e+06 -5.228481599920394629e+00
2.971803340863797516e+01 2.266152803197011423e+01 -1.399959167064576643e+06 -5.228481599920394629e+00
2.918849451626673996e+01 2.354215423346405345e+01 -1.399233861548075220e+06 -5.228481599920394629e+00
2.953943526193831914e+01 2.279111834593992825e+01 -1.390160843146562111e+06 -5.228481599920394629e+00
2.665481258812105025e+01 2.858428503195873205e+01 -1.390066871110436972e+06 -5.228481599920394629e+00
2.672037189054461237e+01 2.811789381982759295e+01 -1.376300227575769648e+06 -5.228481599920394629e+00
2.695592374093881460e+01 2.674895846944914624e+01 -1.338346513015809003e+06 -5.228481599920394629e+00
2.857115736132399775e+01 2.336448734203117539e+01 -1.328419656093203928e+06 -5.228481599920394629e+00
2.873134353667854413e+01 2.263727098334371490e+01 -1.303310929801885504e+06 -5.228481599920394629e+00
2.815163310259538321e+01 2.340485764571128513e+01 -1.290165399105191464e+06 -5.228481599920394629e+00
2.622536991927603012e+01 2.720532227262888725e+01 -1.283905914451719495e+06 -5.228481599920394629e+00
2.643480952442690324e+01 2.629306090255594341e+01 -1.264384619156133384e+06 -5.228481599920394629e+00
2.586096071988877299e+01 2.752249834248107163e+01 -1.260464073212316493e+06 -5.228481599920394629e+00
2.711785650831917494e+01 2.474659114542089711e+01 -1.259003878095238935e+06 -5.228481599920394629e+00
2.676706782978085997e+01 2.543731403592010665e+01 -1.257818172754604602e+06 -5.228481599920394629e+00
2.496453452538430895e+01 2.937474268010948109e+01 -1.243138547350527486e+06 -5.228481599920394629e+00
2.766190494868829219e+01 2.295304823320707754e+01 -1.220336727205358446e+06 -5.228481599920394629e+00
2.750889295668299894e+01 2.321378910536659035e+01 -1.219606929598131916e+06 -5.228481599920394629e+00
2.813327892105324679e+01 2.196406104843239859e+01 -1.210842729358361568e+06 -5.228481599920394629e+00
2.457601431556800264e+01 2.948241296484176388e+01 -1.207105071833290160e+06 -5.228481599920394629e+00
2.916153827856808078e+01 2.024088767194575667e+01 -1.203730832901268033e+06 -5.228481599920394629e+00
2.581125790532308173e+01 2.608651496769709510e+01 -1.193966503985386807e+06 -5.228481599920394629e+00
2.972264531640567853e+01 1.916489761896871613e+01 -1.185954727434091968e+06 -5.228481599920394629e+00
2.637557723040212920e+01 2.462868745966849460e+01 -1.182607516290825093e+06 -5.228481599920394629e+00
2.746092695385839022e+01 2.217453385097247676e+01 -1.161895446323653916e+06 -5.228481599920394629e+00
2.593033456486791266e+01 2.489823642605937692e+01 -1.153198476095348829e+06 -5.228481599920394629e+00
2.860756641353904683e+01 2.018450125191229105e+01 -1.153080572502084309e+06 -5.228481599920394629e+00
2.839878125021454025e+01 2.042555459803465112e+01 -1.149066069119120482e+06 -5.228481599920394629e+00
2.909786366423553616e+01 1.937080334432658901e+01 -1.146552867266040994e+06 -5.228481599920394629e+00
2.986375258224311935e+01 1.796752374542798592e+01 -1.122033948831692571e+06 -5.228481599920394629e+00
2.980681369721368412e+01 1.800906251559582572e+01 -1.120174522933186265e+06 -5.228481599920394629e+00
2.404213340137959420e+01 2.830843570524688957e+01 -1.110883981009576470e+06 -5.228481599920394629e+00
2.482735693885132378e+01 2.614032524904091659e+01 -1.102872550097364234e+06 -5.228481599920394629e+00
2.362793141584360868e+01 2.900919438602663902e+01 -1.095566160150590353e+06 -5.228481599920394629e+00
2.921421725221088650e+01 1.827875106498357027e+01 -1.090255274096347159e+06 -5.228481599920394629e+00
2.555167853320244475e+01 2.415636281266426266e+01 -1.086104752031024313e+06 -5.228481599920394629e+00
2.876474393020680509e+01 1.854101161831693645e+01 -1.070683144105072599e+06 -5.228481599920394629e+00
2.717083820087435697e+01 2.086726036808281037e+01 -1.069890547843528213e+06 -5.228481599920394629e+00
2.860130792786933185e+01 1.862036811612822973e+01 -1.062531155771907885e+06 -5.228481599920394629e+00
2.627603075010595646e+01 2.195143165974622335e+01 -1.048713823545938358e+06 -5.228481599920394629e+00
2.724631362884816355e+01 2.023206979671781980e+01 -1.043357521849769517e+06 -5.228481599920394629e+00
2.585397105472312518e+01 2.256269348919180473e+01 -1.041499570049548405e+06 -5.228481599920394629e+00
2.407837351668547399e+01 2.629254521738703687e+01 -1.040012567496796721e+06 -5.228481599920394629e+00
2.571589433028242766e+01 2.278259802571486148e+01 -1.039721341778434929e+06 -5.228481599920394629e+00
2.282465374113502321e+01 2.951563302095915375e+01 -1.035282466502413270e+06 -5.228481599920394629e+00
2.585734123855007027e+01 2.216283210776376222e+01 -1.023575086727949791e+06 -5.228481599920394629e+00
2.620603076684612986e+01 2.130229941809858829e+01 -1.012233992930187844e+06 -5.228481599920394629e+00
2.249828859828186722e+01 2.961950878309064450e+01 -1.007733221862462466e+06 -5.228481599920394629e+00
2.286221935625805912e+01 2.853066254059999096e+01 -1.007016110872648307e+06 -5.228481599920394629e+00
2.901352699415810932e+01 1.702264005763237620e+01 -9.991378616226924350e+05 -5.228481599920394629e+00
2.644865729559864320e+01 2.047008330708919388e+01 -9.917297646652429830e+05 -5.228481599920394629e+00
2.663013904280815325e+01 2.013932001922172788e+01 -9.897668144487094833e+05 -5.228481599920394629e+00
2.414537586713368711e+01 2.481052761683682206e+01 -9.896730724946077680e+05 -5.228481599920394629e+00
2.974147222930196932e+01 1.602011214114665094e+01 -9.888961374540777178e+05 -5.228481599920394629e+00
2.599286053463272594e+01 2.112636165863186477e+01 -9.867990891392319463e+05 -5.228481599920394629e+00
2.475073558283797226e+01 2.342293734462178634e+01 -9.858576779372255551e+05 -5.228481599920394629e+00
