# amplitude duration logL logPrior
2.958098262556224967e+01 2.932519677932725699e+01 -1.598170685217652004e+06 -5.228481599920394629e+00
2.981569862019989259e+01 2.844498327034019880e+01 -1.575070738002452534e+06 -5.228481599920394629e+00
2.991489442282996336e+01 2.782136856744289588e+01 -1.550851148175810231e+06 -5.228481599920394629e+00
2.929226847459396055e+01 2.830799869514606470e+01 -1.512783895485390211e+06 -5.228481599920394629e+00
2.933866040284408427e+01 2.817635318503937469e+01 -1.510539889841308584e+06 -5.228481599920394629e+00
2.974663627818332046e+01 2.671574005784960093e+01 -1.472397838389931247e+06 -5.228481599920394629e+00
2.805335554857089519e+01 2.966189955426186486e+01 -1.453364867562059546e+06 -5.228481599920394629e+00
2.795801253795623253e+01 2.956904982516442359e+01 -1.438972581289604772e+06 -5.228481599920394629e+00
2.988752502879885498e+01 2.567544470917010102e+01 -1.428395432832346763e+06 -5.228481599920394629e+00
2.969577041204219015e+01 2.579606793390756891e+01 -1.416714145788610913e+06 -5.228481599920394629e+00
2.979930816575390651e+01 2.540964725407258840e+01 -1.405203233551523881e+06 -5.228481599920394629e+00
2.917919966476382854e+01 2.649843796517154715e+01 -1.405046681292444933e+06 -5.228481599920394629e+00
2.807419087550324832e+01 2.859333747596231490e+01 -1.403224634888178669e+06 -5.228481599920394629e+00
2.967420002217909669e+01 2.556918761673477292e+01 -1.402169850036153104e+06 -5.228481599920394629e+00
2.878491617749806153e+01 2.693242267069501494e+01 -1.389655842053098837e+06 -5.228481599920394629e+00
2.802211235168870473e+01 2.780393274131704473e+01 -1.359421893965847325e+06 -5.228481599920394629e+00
2.927918143139530471e+01 2.541219787496001103e+01 -1.356564230575351976e+06 -5.228481599920394629e+00
2.755551398922863626e+01 2.848491048510423340e+01 -1.346578531043626135e+06 -5.228481599920394629e+00
2.782660703119223555e+01 2.742163650563356470e+01 -1.322013495167125249e+06 -5.228481599920394629e+00
2.667617830723406414e+01 2.971982194382427522e+01 -1.316326480594903463e+06 -5.228481599920394629e+00
2.958300825904249365e+01 2.385245388980245806e+01 -1.299627996361658676e+06 -5.228481599920394629e+00
2.901424144472053968e+01 2.451192427986854483e+01 -1.284682262495468603e+06 -5.228481599920394629e+00
2.625777015610170295e+01 2.993906321614498367e+01 -1.284598878319126787e+06 -5.228481599920394629e+00
2.634684047864541157e+01 2.969598304115388032e+01 -1.282899372777450597e+06 -5.228481599920394629e+00
2.804488713806028244e+01 2.611219140295403207e+01 -1.278641179606272839e+06 -5.228481599920394629e+00
2.637798034599338592e+01 2.877646254060534758e+01 -1.246223201009751065e+06 -5.228481599920394629e+00
2.748114125273899333e+01 2.647480295167921227e+01 -1.244684897375649074e+06 -5.228481599920394629e+00
2.590640391471926662e+01 2.977980010021461865e+01 -1.243719896580323344e+06 -5.228481599920394629e+00
2.999667324047819150e+01 2.204530360626215213e+01 -1.234653059676358942e+06 -5.228481599920394629e+00
2.920234036308713499e+01 2.322559724059333774e+01 -1.232860373202358605e+06 -5.228481599920394629e+00
2.643458859265865257e+01 2.816125491163541739e+01 -1.224852976920616115e+06 -5.228481599920394629e+00
2.602219335876327833e+01 2.905525949621684489e+01 -1.224455659261664841e+06 -5.228481599920394629e+00
2.845220823216876482e+01 2.406988888106063840e+01 -1.212862503968801815e+06 -5.228481599920394629e+00
2.721451503703694996e+01 2.610405604425866599e+01 -1.203429663839360233e+06 -5.228481599920394629e+00
2.772592529938117423e+01 2.509284635379972173e+01 -1.200679829970746767e+06 -5.228481599920394629e+00
2.726022654113900501e+01 2.594483012685611456e+01 -1.200100756142959697e+06 -5.228481599920394629e+00
2.932433228664573832e+01 2.241896225455765901e+01 -1.199837175815094495e+06 -5.228481599920394629e+00
2.785361668929577661e+01 2.438361596415356658e+01 -1.177411931422861293e+06 -5.228481599920394629e+00
2.953278288266429641e+01 2.164533223604285084e+01 -1.174813094416886568e+06 -5.228481599920394629e+00
2.538056335070141856e+01 2.927382900024574042e+01 -1.173368695632317103e+06 -5.228481599920394629e+00
2.881650277254625081e+01 2.265881423784311721e+01 -1.170954703849337762e+06 -5.228481599920394629e+00
2.741341063146304791e+01 2.494770640962877550e+01 -1.166858861722555012e+06 -5.228481599920394629e+00
2.802817528994977536e+01 2.371550615898320302e+01 -1.159453737504088553e+06 -5.228481599920394629e+00
2.490867887629639554e+01 2.993838924473678986e+01 -1.155568385023101233e+06 -5.228481599920394629e+00
2.482468129114272060e+01 2.976544738767771037e+01 -1.141158706770116230e+06 -5.228481599920394629e+00
2.742587586496430418e+01 2.433524681408915669e+01 -1.139130532849424286e+06 -5.228481599920394629e+00
2.955334623195829735e+01 2.078265646313731452e+01 -1.129329213631027378e+06 -5.228481599920394629e+00
2.458862041822215616e+01 2.917789322762167359e+01 -1.097451199458899209e+06 -5.228481599920394629e+00
2.723424941240586961e+01 2.375320648001642354e+01 -1.096224390029038303e+06 -5.228481599920394629e+00
2.748036647012184019e+01 2.320588971333766892e+01 -1.090355773049826501e+06 -5.228481599920394629e+00
2.994418721318407250e+01 1.947725177520634787e+01 -1.086297243602989009e+06 -5.228481599920394629e+00
2.959371286526661748e+01 1.987218562031832647e+01 -1.082555201159796678e+06 -5.228481599920394629e+00
2.556693455604478515e+01 2.653106928597512137e+01 -1.079091965740693733e+06 -5.228481599920394629e+00
2.472432225801653516e+01 2.835988799900639989e+01 -1.078560769121286925e+06 -5.228481599920394629e+00
2.641084020869989857e+01 2.468339089440614487e+01 -1.071265984304093989e+06 -5.228481599920394629e+00
2.496117795073443801e+01 2.762259097120671925e+01 -1.070795372013006127e+06 -5.228481599920394629e+00
2.977624015018284354e+01 1.940279389380701502e+01 -1.069971452123760479e+06 -5.228481599920394629e+00
2.409642675428107594e+01 2.958999130981815640e+01 -1.068654358227699529e+06 -5.228481599920394629e+00
2.757512772583778471e+01 2.252415914361565186e+01 -1.065500103929726174e+06 -5.228481599920394629e+00
2.917229896666789557e+01 2.012267141899759793e+01 -1.065161527077199658e+06 -5.228481599920394629e+00
2.466104518642015364e+01 2.809667070745335948e+01 -1.063065997102762805e+06 -5.228481599920394629e+00
2.557096158855505763e+01 2.611586901668040284e+01 -1.062487344476606464e+06 -5.228481599920394629e+00
2.397697842226892817e+01 2.956511398255737078e+01 -1.057162441265782807e+06 -5.228481599920394629e+00
2.773547401954701996e+01 2.199906698518056203e+01 -1.052712918631236767e+06 -5.228481599920394629e+00
2.381178456498128782e+01 2.965977498851261629e+01 -1.045923083387305378e+06 -5.228481599920394629e+00
2.370806072141020948e+01 2.950857988996558490e+01 -1.031529628705582581e+06 -5.228481599920394629e+00
2.942033443511824586e+01 1.913887257080331139e+01 -1.030163188537049806e+06 -5.228481599920394629e+00
2.365201204320825923e+01 2.955782995477141384e+01 -1.028349570164560922e+06 -5.228481599920394629e+00
2.545833968736454977e+01 2.538671220805459328e+01 -1.023602680423012702e+06 -5.228481599920394629e+00
2.799495678321065384e+01 2.095401376781524050e+01 -1.021354953442813479e+06 -5.228481599920394629e+00
2.577975267781789626e+01 2.437409170635111266e+01 -1.007654983237599838e+06 -5.228481599920394629e+00
2.390390826487342579e+01 2.831947630092112078e+01 -1.006492561873082886e+06 -5.228481599920394629e+00
2.345624651044588305e+01 2.937259128217431225e+01 -1.005015520755532896e+06 -5.228481599920394629e+00
2.968390088301681118e+01 1.831228061625115444e+01 -1.003225322209980572e+06 -5.228481599920394629e+00
2.812064921719651167e+01 2.018363027791401265e+01 -9.924831871775329346e+05 -5.228481599920394629e+00
2.355712548830054587e+01 2.859203678273987492e+01 -9.868048104252975900e+05 -5.228481599920394629e+00
2.667902676274672302e+01 2.185228696847686081e+01 -9.672237635867103236e+05 -5.228481599920394629e+00
2.823081151718118065e+01 1.948493126990921809e+01 -9.654806824648404727e+05 -5.228481599920394629e+00
2.788427724157356025e+01 1.987245761919237097e+01 -9.606728576870185789e+05 -5.228481599920394629e+00
2.619967363523653958e+01 2.248302156946988006e+01 -9.597185165929861832e+05 -5.228481599920394629e+00
2.309295907589873309e+01 2.885903731926935833e+01 -9.570114991284167627e+05 -5.228481599920394629e+00
2.883025203420385196e+01 1.801245233155215075e+01 -9.305458203651718795e+05 -5.228481599920394629e+00
2.564773863136016985e+01 2.240031934913802303e+01 -9.161531939424742013e+05 -5.228481599920394629e+00
2.622999581080958009e+01 2.141503805375066705e+01 -9.160030333098783158e+05 -5.228481599920394629e+00
2.247512514906665615e+01 2.866468506318753739e+01 -9.002039687925408361e+05 -5.228481599920394629e+00
2.399550506263035743e+01 2.511352572514785919e+01 -8.991184532648565946e+05 -5.228481599920394629e+00
2.732952555096443348e+01 1.928849312363944080e+01 -8.954037113677785965e+05 -5.228481599920394629e+00
2.345959005924666840e+01 2.614779920743193742e+01 -8.947959455440706806e+05 -5.228481599920394629e+00
2.460176687139901119e+01 2.377788413495233755e+01 -8.947894761012576055e+05 -5.228481599920394629e+00
2.505057811690916481e+01 2.290482043827805825e+01 -8.936158720413423143e+05 -5.228481599920394629e+00
2.687099505203385874e+01 1.968218934021479072e+01 -8.832621204216856277e+05 -5.228481599920394629e+00
2.847662745191111355e+01 1.751081954365420401e+01 -8.823279472687027883e+05 -5.228481599920394629e+00
2.502730312773839216e+01 2.263147648772337561e+01 -8.812449259844864719e+05 -5.228481599920394629e+00
2.492733376837330539e+01 2.279140258867269608e+01 -8.804034153166089673e+05 -5.228481599920394629e+00
2.628104933993073189e+01 2.047299379777432193e+01 -8.788995907515856670e+05 -5.228481599920394629e+00
2.940759790288310427e+01 1.614701533055947280e+01 -8.674689931323206984e+05 -5.228481599920394629e+00
2.781115401202706039e+01 1.794336466317107792e+01 -8.623170133251958760e+05 -5.228481599920394629e+00
