# amplitude duration logL logPrior
7.394881486799129156e-02 1.995913340257205704e+01 8.733673106188598467e+01 -5.228481599920394629e+00
8.261539359556135942e-02 2.118343323935104650e+01 8.751523177712940083e+01 -5.228481599920394629e+00
9.438467057678846805e-02 5.176836046303383121e+00 8.785673267180892765e+01 -5.228481599920394629e+00
1.241182614777792126e-01 1.778921209598701836e+01 8.814356689937807232e+01 -5.228481599920394629e+00
8.141776439398784593e-02 1.347106975613663593e+01 8.867551110072980691e+01 -5.228481599920394629e+00
3.232518582940780982e-01 5.883929478436119354e+00 8.897321653884888804e+01 -5.228481599920394629e+00
1.308723526675614757e-01 1.585215912408319383e+01 8.909868253500627588e+01 -5.228481599920394629e+00
8.789238462606560609e-02 1.380884613322458954e+01 8.918663964897342566e+01 -5.228481599920394629e+00
1.361090455330538629e-01 1.522287708358463831e+01 8.930370116328322183e+01 -5.228481599920394629e+00
1.444946692940093924e-01 3.472701285795848136e+00 8.934833296598662855e+01 -5.228481599920394629e+00
1.020205968681352215e-01 6.024965754664008522e+00 8.940601732157071524e+01 -5.228481599920394629e+00
2.078649039030540102e-01 1.054108471165836391e+01 8.944254167592747251e+01 -5.228481599920394629e+00
1.018580501127368670e-01 1.577605577807799619e+01 8.946029579788063302e+01 -5.228481599920394629e+00
1.078991228886938825e-01 1.591194495896956340e+01 8.951270445564598788e+01 -5.228481599920394629e+00
3.559525596737832531e-01 4.583585584379531674e+00 8.954740807586536278e+01 -5.228481599920394629e+00
9.140403087717492714e-02 1.250074823827977610e+01 8.960983237261007162e+01 -5.228481599920394629e+00
9.312667953569479795e-02 8.559756440383328169e+00 8.963031633270307452e+01 -5.228481599920394629e+00
1.405411457404618925e-01 3.722004270663266112e+00 8.964842000713093739e+01 -5.228481599920394629e+00
9.509585235594719688e-02 1.383690466405694863e+01 8.967117574696698057e+01 -5.228481599920394629e+00
1.330263503678560388e-01 1.481391666121576201e+01 8.973573928903579144e+01 -5.228481599920394629e+00
2.981339074908454512e-01 6.490791014689985872e+00 8.974773215948678740e+01 -5.228481599920394629e+00
9.621344685452207224e-02 1.375390533793177106e+01 8.975352224477957463e+01 -5.228481599920394629e+00
1.884255395391126742e-01 1.143586116447327683e+01 8.976153152746852015e+01 -5.228481599920394629e+00
3.229613826178878155e-01 5.616171317102934601e+00 8.978645760649369834e+01 -5.228481599920394629e+00
1.111609613085315362e-01 5.453084902102902198e+00 8.980412482445927935e+01 -5.228481599920394629e+00
1.112356245984300745e-01 1.521737050219363852e+01 8.982221719970289087e+01 -5.228481599920394629e+00
1.663409775916164512e-01 3.194241080329855542e+00 8.990410962786964433e+01 -5.228481599920394629e+00
1.275899250524709372e-01 4.402558181484252486e+00 8.992971615460044177e+01 -5.228481599920394629e+00
1.017006015458083723e-01 1.403910437292953617e+01 8.996781072320638373e+01 -5.228481599920394629e+00
1.044209771534493347e-01 6.549069413122564853e+00 8.999369703862845427e+01 -5.228481599920394629e+00
1.626886454481289157e-01 1.273607591212883605e+01 9.004320644883190994e+01 -5.228481599920394629e+00
1.441920448655916731e-01 1.376892230682629936e+01 9.007458104702669743e+01 -5.228481599920394629e+00
1.574749216390686213e-01 3.444146952889134639e+00 9.007948146147489865e+01 -5.228481599920394629e+00
2.321087098426171946e-01 8.998826418417030126e+00 9.010461846469002012e+01 -5.228481599920394629e+00
1.182921622800854888e-01 1.454107593497994522e+01 9.015684177934025456e+01 -5.228481599920394629e+00
1.064494798600593706e-01 1.392596130259765097e+01 9.018594422200496297e+01 -5.228481599920394629e+00
1.450424352494310010e-01 3.850263562242475679e+00 9.021973148248599728e+01 -5.228481599920394629e+00
1.034380604654013408e-01 7.207332744332002328e+00 9.022988847153101233e+01 -5.228481599920394629e+00
1.357639539711100185e-01 4.221664076890713879e+00 9.025982631591890026e+01 -5.228481599920394629e+00
1.016709771861585010e-01 7.774683844060030324e+00 9.026879986030400005e+01 -5.228481599920394629e+00
2.713909914827006276e-01 7.283127228998981018e+00 9.027317721453118793e+01 -5.228481599920394629e+00
1.340005065914930404e-01 1.386519139026359504e+01 9.035481222940701684e+01 -5.228481599920394629e+00
2.430364992497511256e-01 8.393948127382868662e+00 9.036495479158176636e+01 -5.228481599920394629e+00
1.508098755080750086e-01 3.746122319233003317e+00 9.037533400669474304e+01 -5.228481599920394629e+00
2.669477238401421482e-01 7.401556967759933769e+00 9.040468385973693444e+01 -5.228481599920394629e+00
1.253930807195509645e-01 1.396776345392464336e+01 9.042806823851738329e+01 -5.228481599920394629e+00
3.654187385591191051e-01 3.191858105527561662e+00 9.042947733228768925e+01 -5.228481599920394629e+00
2.712365914944546708e-01 7.223347873661039920e+00 9.043561987384372003e+01 -5.228481599920394629e+00
1.406903708865850366e-01 1.345368609892599032e+01 9.045737733767933264e+01 -5.228481599920394629e+00
1.445265245945803190e-01 1.327568739492816796e+01 9.046242265033654917e+01 -5.228481599920394629e+00
1.250489499897582679e-01 1.390507302166077963e+01 9.046437760202734069e+01 -5.228481599920394629e+00
1.016227419190934012e-01 1.084944400128887843e+01 9.054594431268859012e+01 -5.228481599920394629e+00
2.911643330765804616e-01 6.428192036716480651e+00 9.057755329522464649e+01 -5.228481599920394629e+00
3.128028594772820359e-01 5.658679502295511199e+00 9.059286402358203816e+01 -5.228481599920394629e+00
2.156975616552440078e-01 9.492208085384609362e+00 9.062438640470935525e+01 -5.228481599920394629e+00
