# Tau0 Delta logL logPrior
1.476475693574933423e+01 5.248810684885432121e-01 -2.635449164762636087e+02 -2.708050201102210508e+00
1.466043447995411242e+01 5.392743791010428112e-01 -2.316320057917044437e+02 -2.708050201102210508e+00
1.499353738449346807e+01 5.821544039644761526e-01 -2.272820339622836627e+02 -2.708050201102210508e+00
1.410967413084830646e+01 5.062381511236422327e-01 -1.953580785011288867e+02 -2.708050201102210508e+00
1.447586280826703842e+01 5.515757863840728970e-01 -1.949200645994347951e+02 -2.708050201102210508e+00
1.442553148834106125e+01 5.549003584056858562e-01 -1.855815194889472366e+02 -2.708050201102210508e+00
1.494830719671973718e+01 6.216485445320331094e-01 -1.846849571012335502e+02 -2.708050201102210508e+00
1.439553557828029895e+01 5.529995682153453496e-01 -1.838051532790607325e+02 -2.708050201102210508e+00
1.477860604997631100e+01 6.108262047516550552e-01 -1.755656580300676239e+02 -2.708050201102210508e+00
1.468233748938705219e+01 6.128320680996852676e-01 -1.636779863178258552e+02 -2.708050201102210508e+00
1.446587923286358723e+01 5.887131164598988775e-01 -1.601880014846527445e+02 -2.708050201102210508e+00
1.441137940842318343e+01 5.894391339815165942e-01 -1.537488016495947249e+02 -2.708050201102210508e+00
1.494191211397206054e+01 6.836408843639827371e-01 -1.378221433293401788e+02 -2.708050201102210508e+00
1.363302046058075589e+01 5.153629651260198674e-01 -1.286519459820744373e+02 -2.708050201102210508e+00
1.462231580972482448e+01 6.573544283939245503e-01 -1.258578689494947440e+02 -2.708050201102210508e+00
5.510764525799666913e+00 5.006415856948536192e-01 -1.152385944338619339e+02 -2.708050201102210508e+00
1.454598766702722301e+01 6.645966811268306795e-01 -1.145296619124161168e+02 -2.708050201102210508e+00
1.357901898466228907e+01 5.305203633996682377e-01 -1.110054696313097082e+02 -2.708050201102210508e+00
1.437739397449464995e+01 6.460325139411586814e-01 -1.108722561188415341e+02 -2.708050201102210508e+00
1.406382667171991940e+01 6.060886134791845237e-01 -1.071599040079202183e+02 -2.708050201102210508e+00
1.497541327463284588e+01 7.573464700694014784e-01 -9.878205792648208217e+01 -2.708050201102210508e+00
5.101013092395571213e+00 5.916086141453718028e-01 -9.401544434993215305e+01 -2.708050201102210508e+00
5.266079212713079549e+00 5.761480061357171500e-01 -8.784378326808707982e+01 -2.708050201102210508e+00
5.759193420933505614e+00 5.036894336252917270e-01 -8.531422263783767335e+01 -2.708050201102210508e+00
1.312313018498653960e+01 5.038003066522314111e-01 -8.303007331290147874e+01 -2.708050201102210508e+00
5.716450031425921452e+00 5.151468985770144560e-01 -8.204726718800668550e+01 -2.708050201102210508e+00
1.427803463449078514e+01 7.083946582578319884e-01 -7.004483877500540245e+01 -2.708050201102210508e+00
1.491010498195265477e+01 8.119607868327882727e-01 -7.002064098769429279e+01 -2.708050201102210508e+00
1.412145573213314265e+01 6.866154341817161111e-01 -6.833865954513126439e+01 -2.708050201102210508e+00
1.306788781225370499e+01 5.274123359217346430e-01 -6.298291382293817264e+01 -2.708050201102210508e+00
5.277154557046507932e+00 6.213955845518929211e-01 -6.175786886795543751e+01 -2.708050201102210508e+00
1.369059221780858593e+01 6.433839776159667734e-01 -5.555723170994993154e+01 -2.708050201102210508e+00
1.372566290135340417e+01 6.542340885418036489e-01 -5.333493036080283645e+01 -2.708050201102210508e+00
1.312941324229292839e+01 5.599261445513910029e-01 -5.081314457739915724e+01 -2.708050201102210508e+00
1.310080283198593953e+01 5.559277349824006675e-01 -5.043840380096226994e+01 -2.708050201102210508e+00
5.477694776618728056e+00 6.138543910417453286e-01 -4.896774874225832974e+01 -2.708050201102210508e+00
1.404111295523052227e+01 7.198025357450330564e-01 -4.851528969923118240e+01 -2.708050201102210508e+00
1.329769013350781748e+01 5.946907422941757337e-01 -4.759261070504095414e+01 -2.708050201102210508e+00
1.444378929918350885e+01 7.929322736703268149e-01 -4.745337588955701591e+01 -2.708050201102210508e+00
1.316389349981094270e+01 5.759361561077626090e-01 -4.578879125829190144e+01 -2.708050201102210508e+00
1.433882162019682838e+01 8.098540651304636517e-01 -3.543973247221808265e+01 -2.708050201102210508e+00
1.280614150801110895e+01 5.373847121107240277e-01 -3.506864161740325159e+01 -2.708050201102210508e+00
1.341326379794761259e+01 6.441343693951848692e-01 -3.492682435706085187e+01 -2.708050201102210508e+00
1.279343104356332894e+01 5.393422494081534513e-01 -3.311169293579214923e+01 -2.708050201102210508e+00
5.379503361571960518e+00 6.700274760309128386e-01 -3.257034927456237483e+01 -2.708050201102210508e+00
1.374192735575655711e+01 7.241964775766271956e-01 -2.748494670094510894e+01 -2.708050201102210508e+00
1.336077180040407697e+01 6.541310862522000669e-01 -2.746601780856818920e+01 -2.708050201102210508e+00
1.421486983516090952e+01 8.148706006754422582e-01 -2.678493321378852698e+01 -2.708050201102210508e+00
1.438062628029653212e+01 8.462596812639365806e-01 -2.676155921815623628e+01 -2.708050201102210508e+00
1.466098422411907620e+01 9.014891579560097012e-01 -2.621102621850050696e+01 -2.708050201102210508e+00
1.398829101605497272e+01 7.745696176343408457e-01 -2.606761470827458638e+01 -2.708050201102210508e+00
1.470334191086224784e+01 9.148071898230344390e-01 -2.482303102145100837e+01 -2.708050201102210508e+00
1.349659314902284102e+01 6.971247889761307270e-01 -2.121319729979921220e+01 -2.708050201102210508e+00
1.420789294639090983e+01 8.363835142053734906e-01 -2.022229803008901428e+01 -2.708050201102210508e+00
1.274406744705480143e+01 5.631010913608311963e-01 -1.898883665005797639e+01 -2.708050201102210508e+00
5.159861238355200719e+00 7.543086518253281358e-01 -1.780448680780868997e+01 -2.708050201102210508e+00
5.889585414485607018e+00 6.151160019472543539e-01 -1.706164606518543536e+01 -2.708050201102210508e+00
5.760702165679629339e+00 6.421526859805264387e-01 -1.629018227451769008e+01 -2.708050201102210508e+00
1.242169730128861893e+01 5.142508392410671814e-01 -1.462469548531218067e+01 -2.708050201102210508e+00
1.436312553069624443e+01 8.994645234291036573e-01 -1.185651870327687263e+01 -2.708050201102210508e+00
6.159480289955616250e+00 5.813696210573785494e-01 -1.005003574987864567e+01 -2.708050201102210508e+00
5.689408282447785403e+00 6.776697393381682089e-01 -9.065444754446071229e+00 -2.708050201102210508e+00
1.499151575703466222e+01 1.049361657047505725e+00 -7.243074310073199129e+00 -2.708050201102210508e+00
1.431616480887911891e+01 9.134700323800076793e-01 -6.352876218349027049e+00 -2.708050201102210508e+00
1.406577253517812842e+01 8.626289836824778678e-01 -6.184793711182967613e+00 -2.708050201102210508e+00
1.475805570522306986e+01 1.006312618192969355e+00 -6.109939602723743590e+00 -2.708050201102210508e+00
1.307885933716092097e+01 6.642497074556155123e-01 -5.917527016844551291e+00 -2.708050201102210508e+00
5.435512066498669803e+00 7.416204360232299120e-01 -5.278666474723876512e+00 -2.708050201102210508e+00
5.127487049452291501e+00 8.053391540093984835e-01 -5.117683026962820847e+00 -2.708050201102210508e+00
5.460911207853444083e+00 7.418058014123511956e-01 -3.760144885403839510e+00 -2.708050201102210508e+00
1.331051079906145596e+01 7.243801114867931545e-01 -1.989093690642739887e+00 -2.708050201102210508e+00
1.323577007953728035e+01 7.095967687523822010e-01 -1.866535375706579458e+00 -2.708050201102210508e+00
1.269105419678358437e+01 6.060464040508488637e-01 8.098172937816450201e-02 -2.708050201102210508e+00
1.421431907879289724e+01 9.231606900112948599e-01 4.215349763690436902e-01 -2.708050201102210508e+00
1.493806739209622769e+01 1.084707858859501384e+00 1.529128552089069171e+00 -2.708050201102210508e+00
5.329432651708742696e+00 7.892240076147331029e-01 1.547847195855636127e+00 -2.708050201102210508e+00
1.345005845990329796e+01 7.668511260702546295e-01 1.579982081655106896e+00 -2.708050201102210508e+00
6.329182119677200014e+00 5.907236744621205959e-01 5.073949553220892916e+00 -2.708050201102210508e+00
5.100814270061476918e+00 8.604249766730946991e-01 6.772256624191940411e+00 -2.708050201102210508e+00
6.558978854121269464e+00 5.491875461943671599e-01 7.358077132274436494e+00 -2.708050201102210508e+00
1.357748398772727860e+01 8.195902722949615082e-01 7.600396079387423676e+00 -2.708050201102210508e+00
6.800095681900608646e+00 5.001354261336947715e-01 8.002451455359880228e+00 -2.708050201102210508e+00
1.283973072058249443e+01 6.661755084481845168e-01 8.715607650472831480e+00 -2.708050201102210508e+00
1.383671920112297649e+01 8.835211141508209076e-01 9.125613713978534491e+00 -2.708050201102210508e+00
1.347826446097539410e+01 8.096321992704255122e-01 1.016070568515766226e+01 -2.708050201102210508e+00
1.385565654075425357e+01 8.946195433954444720e-01 1.050149309985320656e+01 -2.708050201102210508e+00
1.359269582800473763e+01 8.417554191993544821e-01 1.162395995732197207e+01 -2.708050201102210508e+00
1.302873071653083592e+01 7.207931441073995860e-01 1.228415337522866935e+01 -2.708050201102210508e+00
1.338091744122186455e+01 8.046161512186001952e-01 1.370104758697917191e+01 -2.708050201102210508e+00
6.800292060251925896e+00 5.170094214363588625e-01 1.385825025007280331e+01 -2.708050201102210508e+00
1.298668390699998021e+01 7.189096214344041780e-01 1.401993201667347400e+01 -2.708050201102210508e+00
1.396800234339537994e+01 9.443683405703652278e-01 1.505742238831882851e+01 -2.708050201102210508e+00
1.451642577147863911e+01 1.072550439602796502e+00 1.529004409410032395e+01 -2.708050201102210508e+00
1.446063332925719180e+01 1.061441281097850187e+00 1.558560476265965100e+01 -2.708050201102210508e+00
1.332760369571592207e+01 8.134055274264998525e-01 1.797932054465584173e+01 -2.708050201102210508e+00
5.593001265974838709e+00 8.046875565627975568e-01 1.839990154599241734e+01 -2.708050201102210508e+00
1.498729161898176621e+01 1.206298339369118677e+00 1.851103019419654316e+01 -2.708050201102210508e+00
1.489182124681697950e+01 1.188539784768793961e+00 1.920591339854058432e+01 -2.708050201102210508e+00
1.387462041194028473e+01 9.477861612247656664e-01 1.940022811577393824e+01 -2.708050201102210508e+00
1.495483509213056372e+01 1.208028277841081577e+00 1.977397653761018859e+01 -2.708050201102210508e+00
5.805045763744459464e+00 7.643810539930779857e-01 2.019700163251643588e+01 -2.708050201102210508e+00
5.021946215207300668e+00 9.514046069954644747e-01 2.104028076585936802e+01 -2.708050201102210508e+00
1.370867848397304556e+01 9.256300417751641696e-01 2.226485460098651359e+01 -2.708050201102210508e+00
5.101846050348275874e+00 9.405332639076315893e-01 2.241863998745284903e+01 -2.708050201102210508e+00
5.292816619510096743e+00 9.023271230613156835e-01 2.366457211522812187e+01 -2.708050201102210508e+00
1.471596032819752509e+01 1.182539160035665393e+00 2.403715786886862205e+01 -2.708050201102210508e+00
1.493464093728190711e+01 1.238499754253348906e+00 2.424043879178547911e+01 -2.708050201102210508e+00
1.218716234897055095e+01 5.857517995138669109e-01 2.493203595818836504e+01 -2.708050201102210508e+00
1.312084339544157530e+01 8.048313398870415858e-01 2.558698444845778752e+01 -2.708050201102210508e+00
1.248654402011369946e+01 6.607054605959413740e-01 2.653419531466436965e+01 -2.708050201102210508e+00
6.406907904911524732e+00 6.599982183482828724e-01 2.830812096344000395e+01 -2.708050201102210508e+00
5.289347993020407479e+00 9.310988356944964739e-01 2.837541939027520144e+01 -2.708050201102210508e+00
1.383184358671993941e+01 9.959483863213371979e-01 2.851980798960802233e+01 -2.708050201102210508e+00
1.389371417793496377e+01 1.014139119631163322e+00 2.890786639657520851e+01 -2.708050201102210508e+00
5.947706856285434718e+00 7.769294477983275105e-01 2.955244589818214962e+01 -2.708050201102210508e+00
1.179368321619058690e+01 5.162872605264796633e-01 2.983166026083037892e+01 -2.708050201102210508e+00
5.347366329345078384e+00 9.260457688408625376e-01 2.985663340008868261e+01 -2.708050201102210508e+00
1.427995764180000648e+01 1.121215687657286963e+00 3.013688345600001384e+01 -2.708050201102210508e+00
1.479162030134066086e+01 1.253145561272057895e+00 3.015491932503152128e+01 -2.708050201102210508e+00
6.888112295921812844e+00 5.529315087571294862e-01 3.020064310801613061e+01 -2.708050201102210508e+00
1.339500673464320535e+01 9.028022274298824756e-01 3.087193624550307902e+01 -2.708050201102210508e+00
1.389149563877827909e+01 1.028261047641284787e+00 3.092973969977470361e+01 -2.708050201102210508e+00
1.244857860614551370e+01 6.742982378033866020e-01 3.137066020162323809e+01 -2.708050201102210508e+00
1.220435625620636699e+01 6.243373428133502934e-01 3.312505343230643007e+01 -2.708050201102210508e+00
1.359139252902823713e+01 9.693020078754071012e-01 3.334195381986215523e+01 -2.708050201102210508e+00
1.265677541681211871e+01 7.370373470930197124e-01 3.374985003525112859e+01 -2.708050201102210508e+00
1.482845776696896323e+01 1.299893807721561156e+00 3.408100421591742446e+01 -2.708050201102210508e+00
1.387206541531013038e+01 1.051311570343486324e+00 3.458309297644047575e+01 -2.708050201102210508e+00
1.177174595749719010e+01 5.312353558636169204e-01 3.506909334451351157e+01 -2.708050201102210508e+00
1.250551208669813441e+01 7.108253558923627313e-01 3.579864539506380083e+01 -2.708050201102210508e+00
5.160303782576539433e+00 1.016945733645246097e+00 3.620482147925340399e+01 -2.708050201102210508e+00
1.182222745608682679e+01 5.477748370307036208e-01 3.624829689294880808e+01 -2.708050201102210508e+00
1.275055374893976001e+01 7.768608959965880301e-01 3.662310145688035590e+01 -2.708050201102210508e+00
5.315196876464462150e+00 9.821469830878455376e-01 3.694210566588387223e+01 -2.708050201102210508e+00
1.481755468779670615e+01 1.331590488378542769e+00 3.746007482800973776e+01 -2.708050201102210508e+00
1.399582289387504375e+01 1.112470230236606294e+00 3.795366935885844129e+01 -2.708050201102210508e+00
1.165796625510595597e+01 5.166971512072574546e-01 3.801707187904109020e+01 -2.708050201102210508e+00
5.442209064110445027e+00 9.585616479300246295e-01 3.825472180408789313e+01 -2.708050201102210508e+00
1.328898358265040613e+01 9.303531324635663236e-01 3.876763521628900122e+01 -2.708050201102210508e+00
1.436748056187346734e+01 1.230225435565934999e+00 3.966296490725353152e+01 -2.708050201102210508e+00
1.284339362026672227e+01 8.212437248160141534e-01 3.988258307999712571e+01 -2.708050201102210508e+00
6.355787313197770239e+00 7.315244083865961588e-01 3.993909086495007443e+01 -2.708050201102210508e+00
1.195515408484506104e+01 5.979037723320929087e-01 4.031194783932872383e+01 -2.708050201102210508e+00
5.293143552797034523e+00 1.014893743381882096e+00 4.048175732389513115e+01 -2.708050201102210508e+00
5.756885394633212805e+00 8.918306018292156967e-01 4.050474948768355432e+01 -2.708050201102210508e+00
6.855892302762933710e+00 6.091469454675839668e-01 4.123744196954449848e+01 -2.708050201102210508e+00
1.410412124941191969e+01 1.174902238595234127e+00 4.145016169496017966e+01 -2.708050201102210508e+00
1.328852447153736627e+01 9.512445687215819179e-01 4.150688716447653803e+01 -2.708050201102210508e+00
5.517788398597399002e+00 9.656605998613682074e-01 4.188512833117469114e+01 -2.708050201102210508e+00
1.486908359610289310e+01 1.396584174795606037e+00 4.193054234498886501e+01 -2.708050201102210508e+00
5.300859150941114706e+00 1.024911763393125064e+00 4.198218404697686879e+01 -2.708050201102210508e+00
5.233233415815210066e+00 1.044702188418153987e+00 4.215971322581522429e+01 -2.708050201102210508e+00
1.431028570649769982e+01 1.252923325517727671e+00 4.335568368422828911e+01 -2.708050201102210508e+00
1.350728173777364916e+01 1.026822801140807373e+00 4.337894684117030408e+01 -2.708050201102210508e+00
1.199175563195025163e+01 6.226943576599426322e-01 4.342237587928701004e+01 -2.708050201102210508e+00
1.195136613907747147e+01 6.140640001418311567e-01 4.372572325517145941e+01 -2.708050201102210508e+00
1.496231875496695451e+01 1.464871638396464615e+00 4.517917548058569821e+01 -2.708050201102210508e+00
5.050344694124339284e+00 1.125792570494543288e+00 4.558727317816780555e+01 -2.708050201102210508e+00
5.702761814084319703e+00 9.505901078852536656e-01 4.636351600315403232e+01 -2.708050201102210508e+00
1.156371256521335411e+01 5.320365635447917851e-01 4.675769244747336018e+01 -2.708050201102210508e+00
7.374459221827481592e+00 5.011314460252663805e-01 4.690588737857191148e+01 -2.708050201102210508e+00
1.423496259461095192e+01 1.272750831310744513e+00 4.703172205266037764e+01 -2.708050201102210508e+00
1.469841957249659714e+01 1.415376133213437804e+00 4.738059113392716171e+01 -2.708050201102210508e+00
7.082436387989353932e+00 5.819131011683232879e-01 4.761758187870715631e+01 -2.708050201102210508e+00
7.058015073370094150e+00 5.888743019420593638e-01 4.769570338982794055e+01 -2.708050201102210508e+00
6.241049799301600309e+00 8.122536787667535840e-01 4.776869650217160768e+01 -2.708050201102210508e+00
1.278381540854133291e+01 8.630602335079975429e-01 4.788875912516570565e+01 -2.708050201102210508e+00
1.141189513642027720e+01 5.000590262234335670e-01 4.793011482406197388e+01 -2.708050201102210508e+00
6.460364871495166916e+00 7.544752771049226814e-01 4.816884586919289291e+01 -2.708050201102210508e+00
6.946794773749311425e+00 6.216839165659570066e-01 4.821111901411490663e+01 -2.708050201102210508e+00
1.379560104954364874e+01 1.158751091664259381e+00 4.841432704266703269e+01 -2.708050201102210508e+00
1.307351566217892191e+01 9.508922129559765901e-01 4.860456505050972709e+01 -2.708050201102210508e+00
6.086111594916268075e+00 8.622048295572131149e-01 4.869628930118389576e+01 -2.708050201102210508e+00
1.363087681332331336e+01 1.114130470218991364e+00 4.877532698072631234e+01 -2.708050201102210508e+00
5.500175742116343969e+00 1.031908579862128139e+00 4.916437893115286784e+01 -2.708050201102210508e+00
1.193285976374062862e+01 6.407694706759358150e-01 4.939878954597743643e+01 -2.708050201102210508e+00
6.154315413946245705e+00 8.495670255685874306e-01 4.954509304469348052e+01 -2.708050201102210508e+00
1.247716341521511296e+01 7.920282311460724589e-01 4.979704643572578959e+01 -2.708050201102210508e+00
5.827284274454168411e+00 9.471396196861667782e-01 5.014253477004474036e+01 -2.708050201102210508e+00
1.470403843320829829e+01 1.456037053560078842e+00 5.018430801997042323e+01 -2.708050201102210508e+00
1.302509714924240036e+01 9.512424540068127321e-01 5.019607243942465402e+01 -2.708050201102210508e+00
6.202165105264919376e+00 8.432772661563531225e-01 5.048391283015486408e+01 -2.708050201102210508e+00
1.437906626722462988e+01 1.360601005270106301e+00 5.054577429081563622e+01 -2.708050201102210508e+00
1.337378879337600246e+01 1.060535277945422683e+00 5.091760645219744674e+01 -2.708050201102210508e+00
