# Tau0 Delta logL logPrior
1.119143433083633887e+01 1.827806935396754984e+00 1.021750744852096489e+02 -2.708050201102210508e+00
1.086145312833527932e+01 1.232007195128412613e+00 1.022432546883101168e+02 -2.708050201102210508e+00
1.011815634964748867e+01 6.475576252830705926e-01 1.023203941951144031e+02 -2.708050201102210508e+00
7.942792205097341629e+00 1.179026556776115342e+00 1.023769019586306683e+02 -2.708050201102210508e+00
1.109617620625216894e+01 1.833611336136223402e+00 1.026498275870408889e+02 -2.708050201102210508e+00
7.631205053725488519e+00 1.606161541012711913e+00 1.026659026608940195e+02 -2.708050201102210508e+00
1.078288286050266365e+01 1.240086202463901888e+00 1.029269714236791771e+02 -2.708050201102210508e+00
1.085021428002775323e+01 1.630801031305637139e+00 1.036510196771331067e+02 -2.708050201102210508e+00
1.084594488062240991e+01 1.990372958302261353e+00 1.037039359112285410e+02 -2.708050201102210508e+00
1.084374633629975193e+01 1.959709925693360333e+00 1.037298219690476486e+02 -2.708050201102210508e+00
7.776654916640762139e+00 1.815728378685804945e+00 1.038184117523259573e+02 -2.708050201102210508e+00
7.808946100723098915e+00 1.748582629588208981e+00 1.038949645586449435e+02 -2.708050201102210508e+00
1.075998798354909880e+01 1.526393433797898824e+00 1.039920509918114959e+02 -2.708050201102210508e+00
1.077787777552488535e+01 1.749671600095279667e+00 1.040494381181116239e+02 -2.708050201102210508e+00
7.926800665427354176e+00 1.518773653777804267e+00 1.040665345009443854e+02 -2.708050201102210508e+00
1.075097143299112190e+01 1.929549596945454581e+00 1.040833241779787954e+02 -2.708050201102210508e+00
7.947290984062879815e+00 1.497790324118519756e+00 1.041232726075942026e+02 -2.708050201102210508e+00
7.848074136645990073e+00 1.944712009163223287e+00 1.041261595862048068e+02 -2.708050201102210508e+00
7.965393612536120216e+00 1.466872220070841948e+00 1.041376249170230466e+02 -2.708050201102210508e+00
1.055080289945129834e+01 1.164771252903249232e+00 1.042904505968955817e+02 -2.708050201102210508e+00
8.411759813483167036e+00 9.465846720288655369e-01 1.043373593078802628e+02 -2.708050201102210508e+00
7.920132160599922422e+00 1.849957838148771350e+00 1.043950972470123304e+02 -2.708050201102210508e+00
1.068279862504893352e+01 1.588812566456646591e+00 1.044377425868009652e+02 -2.708050201102210508e+00
1.061903285065046632e+01 1.348391514385695267e+00 1.044665570249531470e+02 -2.708050201102210508e+00
8.540613455976380664e+00 8.519725809344919076e-01 1.044800215031985431e+02 -2.708050201102210508e+00
1.061084370235998264e+01 1.969973613293395598e+00 1.045063433688772676e+02 -2.708050201102210508e+00
1.062572262007894608e+01 1.409646126489334961e+00 1.045482212591979163e+02 -2.708050201102210508e+00
7.973248012783868077e+00 1.755789259297091398e+00 1.045853525525236591e+02 -2.708050201102210508e+00
8.472338717329405355e+00 9.263243322120628953e-01 1.046704517795782010e+02 -2.708050201102210508e+00
8.020477691650373941e+00 1.736417470267660024e+00 1.047645673612817347e+02 -2.708050201102210508e+00
8.037104917825882211e+00 1.621794958694696920e+00 1.047746808748537717e+02 -2.708050201102210508e+00
1.058975088164535983e+01 1.661851399969688670e+00 1.048497964960567543e+02 -2.708050201102210508e+00
8.108365920714581065e+00 1.447620124570988986e+00 1.048614777081995726e+02 -2.708050201102210508e+00
1.050971674369415965e+01 1.256945445291534069e+00 1.049037739223485062e+02 -2.708050201102210508e+00
8.336687287831415105e+00 1.095229872207606592e+00 1.049133131344493393e+02 -2.708050201102210508e+00
8.094636045373572841e+00 1.515951385238530680e+00 1.049145431923574563e+02 -2.708050201102210508e+00
8.108157398781028036e+00 1.963083333676068243e+00 1.049321746902300276e+02 -2.708050201102210508e+00
8.149464604602382423e+00 1.406443400920847964e+00 1.049859067616504973e+02 -2.708050201102210508e+00
8.122541585290340649e+00 1.929409706644310774e+00 1.050093685998381261e+02 -2.708050201102210508e+00
8.158303631045043858e+00 1.993278894015972913e+00 1.050307767075726559e+02 -2.708050201102210508e+00
8.101703845610622068e+00 1.618751337012191760e+00 1.050478420587245267e+02 -2.708050201102210508e+00
